"College","Type","Pell_Share","State","Year"
"Brigham Young University","Private",12,"Utah",2023
"Duke University","Private",12,"N.C.",2023
"Georgia Institute of Technology","Public",12,"Ga.",2023
"Rose-Hulman Institute of Technology","Private",12,"Ind.",2023
"Skidmore College","Private",12,"N.Y.",2023
"University of Notre Dame","Private",12,"Ind.",2023
"Villanova University","Private",12,"Pa.",2023
"Auburn University","Public",11,"Ala.",2023
"Furman University","Private",11,"S.C.",2023
"Reed College","Private",11,"Ore.",2023
"Tufts University","Private",11,"Mass.",2023
"William & Mary","Public",11,"Va.",2023
"Yeshiva University","Private",11,"N.Y.",2023
"Bucknell University","Private",10,"Pa.",2023
"California Institute of Technology","Private",10,"Calif.",2023
"Kenyon College","Private",10,"Ohio",2023
"Lafayette College","Private",10,"Pa.",2023
"Loyola Marymount University","Private",10,"Calif.",2023
"Wake Forest University","Private",10,"N.C.",2023
"Washington and Lee University","Private",10,"Va.",2023
"Worcester Polytechnic Institute","Private",10,"Mass.",2023
"Elon University","Private",9,"N.C.",2023
"Santa Clara University","Private",9,"Calif.",2023
"Scripps College","Private",9,"Calif.",2023
"Southern Methodist University","Private",9,"Texas",2023
"Bates College","Private",8,"Maine",2023
"Fairfield University","Private",8,"Conn.",2023
"Oberlin College","Private",8,"Ohio",2023
"Tulane University","Private",8,"La.",2023
"Berea College","Private",95,"Ky.",2011
"Salem College","Private",85,"N.C.",2011
"CUNY Baruch College","Public",61,"N.Y.",2011
"College of Mount St. Vincent","Private",47,"N.Y.",2011
"College of the Ozarks","Private",30,"Mo.",2011
"Agnes Scott College","Private",51,"Ga.",2011
"Florida International University","Public",43,"Fla.",2011
"Pacific Union College","Private",48,"Calif.",2011
"Houghton College","Private",41,"N.Y.",2011
"University of New Mexico","Public",46,"N.M.",2011
"Brescia University","Private",24,"Ky.",2011
"Stockton University","Public",41,"N.J.",2011
"Earlham College","Private",49,"Ind.",2011
"Lake Forest College","Private",38,"Ill.",2011
"Millsaps College","Private",59,"Miss.",2011
"Christian Brothers University","Private",30,"Tenn.",2011
"Hampshire College","Private",56,"Mass.",2011
"Lyon College","Private",26,"Ark.",2011
"Stony Brook University","Public",40,"N.Y.",2011
"University of California, Irvine","Public",40,"Calif.",2011
"King University","Private",34,"Tenn.",2011
"Loyola University New Orleans","Private",43,"La.",2011
"Beloit College","Private",50,"Wis.",2011
"University of the Pacific","Private",39,"Calif.",2011
"Knox College","Private",43,"Ill.",2011
"New College of Florida","Public",44,"Fla.",2011
"Willamette University","Private",43,"Ore.",2011
"Mount St. Mary’s University","Private",40,"Md.",2011
"New Mexico Institute of Mining and Technology","Public",39,"N.M.",2011
"Southwestern University","Private",44,"Texas",2011
"University at Buffalo","Public",40,"N.Y.",2011
"Allegheny College","Private",37,"Pa.",2011
"College of the Atlantic","Private",23,"Maine",2011
"Hanover College","Private",33,"Ind.",2011
"Austin College","Private",32,"Texas",2011
"Illinois Institute of Technology","Private",36,"Ill.",2011
"Rowan University","Public",33,"N.J.",2011
"University of Idaho","Public",26,"Idaho",2011
"University of Montana","Public",26,"Mont.",2011
"William Jewell College","Private",32,"Mo.",2011
"University of Dallas","Private",36,"Texas",2011
"University of Evansville","Private",31,"Ind.",2011
"Bennington College","Private",36,"Vt.",2011
"Kalamazoo College","Private",42,"Mich.",2011
"Ramapo College of New Jersey","Public",35,"N.J.",2011
"Rochester Institute of Technology","Private",25,"N.Y.",2011
"University of California, Davis","Public",21,"Calif.",2011
"Cooper Union","Private",45,"N.Y.",2011
"Cornell College","Private",25,"Iowa",2011
"Louisiana State University","Public",38,"La.",2011
"Mount Holyoke College","Private",37,"Mass.",2011
"Transylvania University","Private",30,"Ky.",2011
"University of Nevada, Reno","Public",29,"Nev.",2011
"University of South Florida","Public",16,"Fla.",2011
"University of Texas, Austin","Public",30,"Texas",2011
"George Mason University","Public",31,"Va.",2011
"Hendrix College","Private",35,"Ark.",2011
"Hobart and William Smith Colleges","Private",39,"N.Y.",2011
"University of California, Santa Barbara","Public",22,"Calif.",2011
"University of Central Florida","Public",26,"Fla.",2011
"Augustana College","Private",29,"Ill.",2011
"University of Alaska, Fairbanks","Public",23,"Alaska",2011
"Bard College","Private",32,"N.Y.",2011
"Binghamton University","Public",26,"N.Y.",2011
"Illinois Wesleyan University","Private",32,"Ill.",2011
"Rutgers University","Public",23,"N.J.",2011
"SUNY College at Geneseo","Public",31,"N.Y.",2011
"University of Illinois, Urbana-Champaign","Public",31,"Ill.",2011
"University of Maine","Public",18,"Maine",2011
"University of Nebraska, Lincoln","Public",28,"Neb.",2011
"Florida State University","Public",22,"Fla.",2011
"Franklin & Marshall College","Private",37,"Pa.",2011
"Gustavus Adolphus College","Private",22,"Minn.",2011
"Macalester College","Private",32,"Minn.",2011
"Rollins College","Private",23,"Fla.",2011
"St. John’s College","Private",6,"N.M.",2011
"St. John’s College","Private",29,"Md.",2011
"Susquehanna University","Private",27,"Pa.",2011
"University of Arizona","Public",18,"Ariz.",2011
"University of California, Berkeley","Public",23,"Calif.",2011
"Bard College at Simon’s Rock","Private",12,"Mass.",2011
"Berry College","Private",19,"Ga.",2011
"Hofstra University","Private",24,"N.Y.",2011
"Lawrence University","Private",28,"Wis.",2011
"University of Alabama, Huntsville","Public",14,"Ala.",2011
"University of California, San Diego","Public",1,"Calif.",2011
"University of Oregon","Public",25,"Ore.",2011
"University of South Dakota","Public",15,"S.D.",2011
"University of Texas, Dallas","Public",22,"Texas",2011
"University of Utah","Public",28,"Utah",2011
"Claremont McKenna College","Private",31,"Calif.",2011
"College of Wooster","Private",27,"Ohio",2011
"St. Mary’s College of Maryland","Public",32,"Md.",2011
"University of Hawaii, Manoa","Public",18,"Hawaii",2011
"University of Oklahoma","Public",22,"Okla.",2011
"University of Rhode Island","Public",20,"R.I.",2011
"University of Tennessee","Public",17,"Tenn.",2011
"West Virginia University","Public",15,"W.Va.",2011
"Wheaton College","Private",24,"Mass.",2011
"Centre College","Private",28,"Ky.",2011
"Grinnell College","Private",20,"Iowa",2011
"Harvard University","Private",26,"Mass.",2011
"Loyola University Chicago","Private",15,"Ill.",2011
"Milwaukee School of Engineering","Private",18,"Wis.",2011
"St. Lawrence University","Private",25,"N.Y.",2011
"St. Olaf College","Private",27,"Minn.",2011
"Swarthmore College","Private",30,"Pa.",2011
"Thomas Aquinas College","Private",7,"Calif.",2011
"University of California, Los Angeles","Public",12,"Calif.",2011
"University of Connecticut","Public",25,"Conn.",2011
"University of Florida","Public",15,"Fla.",2011
"University of Kentucky","Public",19,"Ky.",2011
"University of Mississippi","Public",14,"Miss.",2011
"University of Tulsa","Private",23,"Okla.",2011
"Wellesley College","Private",25,"Mass.",2011
"Wheaton College","Private",24,"Ill.",2011
"Amherst College","Private",19,"Mass.",2011
"Columbia University","Private",24,"N.Y.",2011
"Fordham University","Private",23,"N.Y.",2011
"Marquette University","Private",22,"Wis.",2011
"Massachusetts Institute of Technology","Private",23,"Mass.",2011
"Michigan Technological University","Public",14,"Mich.",2011
"Pepperdine University","Private",11,"Calif.",2011
"Pomona College","Private",27,"Calif.",2011
"Seattle University","Private",18,"Wash.",2011
"Trinity University","Private",25,"Texas",2011
"Truman State University","Public",22,"Mo.",2011
"University of Missouri","Public",20,"Mo.",2011
