"Name","State","Type","Freshmen_Pell_share","Ranking","Type_Of_Ranking"
"Bentley University","MA","Private",15,"180","Simpsons"
"Butler University","IN","Private",15,"181","Simpsons"
"Quinnipiac University","CT","Private",15,"182","Simpsons"
"University of Vermont","VT","Public",15,"183","Simpsons"
"Pitzer College","CA","Private",14,"184","Simpsons"
"Union College","NY","Private",14,"185","Simpsons"
"Westmont College","CA","Private",14,"186","Simpsons"
"Colby College","ME","Private",14,"187","Simpsons"
"Denison University","OH","Private",14,"188","Simpsons"
"Calvin University","MI","Private",14,"189","Simpsons"
"Emerson College","MA","Private",14,"190","Simpsons"
"Georgetown University","DC","Private",14,"191","Simpsons"
"Carnegie Mellon University","PA","Private",14,"192","Simpsons"
"Brown University","RI","Private",14,"193","Simpsons"
"University of Chicago","IL","Private",14,"194","Simpsons"
"Texas Christian University","TX","Private",14,"195","Simpsons"
"University of Miami","FL","Private",14,"196","Simpsons"
"University of Colorado, Boulder","CO","Public",14,"197","Simpsons"
"Harvey Mudd College","CA","Private",13,"198","Simpsons"
"College of the Holy Cross","MA","Private",13,"199","Simpsons"
"Colgate University","NY","Private",13,"200","Simpsons"
"Creighton University","NE","Private",13,"201","Simpsons"
"Colorado School of Mines","CO","Public",13,"202","Simpsons"
"Northeastern University","MA","Private",13,"203","Simpsons"
"Clemson University","SC","Public",13,"204","Simpsons"
"Rose-Hulman Institute of Technology","IN","Private",12,"205","Simpsons"
"Skidmore College","NY","Private",12,"206","Simpsons"
"Duke University","NC","Private",12,"207","Simpsons"
"Villanova University","PA","Private",12,"208","Simpsons"
"University of Notre Dame","IN","Private",12,"209","Simpsons"
"Boston College","MA","Private",12,"210","Simpsons"
"Brigham Young University","UT","Private",12,"211","Simpsons"
"Reed College","OR","Private",11,"212","Simpsons"
"Furman University","SC","Private",11,"213","Simpsons"
"Yeshiva University","NY","Private",11,"214","Simpsons"
"William & Mary","VA","Public",11,"215","Simpsons"
"Tufts University","MA","Private",11,"216","Simpsons"
"Auburn University","AK","Public",11,"217","Simpsons"
"California Institute of Technology","CA","Private",10,"218","Simpsons"
"Kenyon College","OH","Private",10,"219","Simpsons"
"Washington and Lee University","VA","Private",10,"220","Simpsons"
"Lafayette College","PA","Private",10,"221","Simpsons"
"Bucknell University","PA","Private",10,"222","Simpsons"
"Worcester Polytechnic Institute","MA","Private",10,"223","Simpsons"
"Loyola Marymount University","CA","Private",10,"224","Simpsons"
"Wake Forest University","NC","Private",10,"225","Simpsons"
"Scripps College","CA","Private",9,"226","Simpsons"
"Santa Clara University","CA","Private",9,"227","Simpsons"
"Southern Methodist University","TX","Private",9,"228","Simpsons"
"Elon University","NC","Private",9,"229","Simpsons"
"Bates College","ME","Private",8,"230","Simpsons"
"Oberlin College","OH","Private",8,"231","Simpsons"
"Fairfield University","CT","Private",8,"232","Simpsons"
"Berea College","KY","Private",94,"233","Simpsons"
"College of the Ozarks","MO","Private",50,"5","Times"
"Agnes Scott College","GA","Private",47,"6","Times"
"Florida International University","FL","Public",47,"7","Times"
"Pacific Union College","CA","Private",43,"8","Times"
"Houghton College","NY","Private",42,"9","Times"
"Brescia University","KY","Private",41,"11","Times"
"Stockton University","NJ","Public",41,"12","Times"
"Earlham College","IN","Private",40,"13","Times"
"Hampshire College","MA","Private",39,"17","Times"
"Millsaps College","MS","Private",40,"15","Times"
"Lake Forest College","IL","Private",40,"14","Times"
"Lyon College","AR","Private",39,"18","Times"
"Christian Brothers University","TN","Private",39,"16","Times"
"Stony Brook University","NY","Public",39,"19","Times"
"King University","TN","Private",38,"21","Times"
"Loyola University New Orleans","LA","Private",38,"22","Times"
"Beloit College","WI","Private",37,"23","Times"
"University of the Pacific","CA","Private",37,"24","Times"
"New College of Florida","FL","Public",35,"26","Times"
"Knox College","IL","Private",35,"25","Times"
"Willamette University","OR","Private",35,"27","Times"
"New Mexico Institute of Mining and Technology","NM","Public",34,"29","Times"
"Southwestern University","TX","Private",34,"30","Times"
"Mount St. Mary’s University","MD","Private",34,"28","Times"
"University at Buffalo","NY","Public",34,"31","Times"
"College of the Atlantic","ME","Private",33,"33","Times"
"Hanover College","IN","Private",33,"34","Times"
"Allegheny College","PA","Private",33,"32","Times"
"William Jewell College","MO","Private",32,"40","Times"
"Austin College","TX","Private",32,"35","Times"
"Illinois Institute of Technology","IL","Private",32,"36","Times"
"University of Idaho","ID","Public",32,"38","Times"
"Rowan University","NJ","Public",32,"37","Times"
"Salem College","NC","Private",69,"2","Times"
"University of Dallas","TX","Private",31,"41","Times"
"University of Evansville","IN","Private",31,"42","Times"
"Bennington College","VT","Private",30,"43","Times"
"Kalamazoo College","MI","Private",30,"44","Times"
"Ramapo College of New Jersey","NJ","Public",30,"45","Times"
"Rochester Institute of Technology","NY","Private",30,"46","Times"
"Transylvania University","KY","Private",29,"52","Times"
"Cornell College","IA","Private",29,"49","Times"
"Mount Holyoke College","MA","Private",29,"51","Times"
"University of South Florida","FL","Public",29,"54","Times"
"Hendrix College","AR","Private",28,"57","Times"
"George Mason University","VA","Public",28,"56","Times"
"University of Central Florida","FL","Public",28,"60","Times"
"University of Alaska, Fairbanks","AK","Public",27,"62","Times"
"Augustana College","IL","Private",27,"61","Times"
"Bard College","NY","Private",26,"63","Times"
"Illinois Wesleyan University","IL","Private",26,"65","Times"
"SUNY College at Geneseo","NY","Public",26,"67","Times"
"University of Maine","ME","Public",26,"69","Times"
"Binghamton University","NY","Public",26,"64","Times"
"University of Illinois, Urbana-Champaign","IL","Public",26,"68","Times"
"St. John’s College","NM","Private",25,"76","Times"
"St. John’s College","MD","Private",25,"77","Times"
"Rollins College","FL","Private",25,"75","Times"
"Macalester College","MN","Private",25,"74","Times"
"Susquehanna University","PA","Private",25,"78","Times"
"Gustavus Adolphus College","MN","Private",25,"73","Times"
"University of Arizona","AZ","Public",25,"79","Times"
"Florida State University","FL","Public",25,"71","Times"
"Bard College at Simon’s Rock","MA","Private",24,"81","Times"
"Lawrence University","WI","Private",24,"84","Times"
"Berry College","GA","Private",24,"82","Times"
"University of South Dakota","SD","Public",24,"88","Times"
"Hofstra University","NY","Private",24,"83","Times"
"University of Oregon","OR","Public",24,"87","Times"
