"College","Type","Pell_Share","State","Year"
"university of tennessee","Public",23,"TN",2020
"university of california los angeles","Public",22,"CA",2020
"columbia university","Private",21,"NY",2020
"university of missouri","Public",21,"MO",2020
"university of new hampshire","Public",21,"NH",2020
"university of north carolina chapel hill","Public",21,"NC",2020
"texas am university","Public",20,"TX",2020
"university of massachusetts amherst","Public",20,"MA",2020
"indiana university bloomington","Public",19,"IN",2020
"st louis university","Private",19,"MO",2020
"university of alabama","Public",19,"AK",2020
"university of south carolina","Public",19,"SC",2020
"university of the south","Private",19,"TN",2020
"college of new jersey","Public",18,"NJ",2020
"north carolina state university","Public",18,"NC",2020
"university of minnesota","Public",18,"MN",2020
"university of washington","Public",18,"WA",2020
"ohio state university","Public",17,"OH",2020
"university of pittsburgh","Public",17,"PA",2020
"university of wisconsin madison","Public",17,"WI",2020
"university of michigan","Public",16,"MI",2020
"virginia polytechnic institute","Public",16,"VA",2020
"university of maryland college park","Public",15,"MD",2020
"california polytechnic state university san luis obispo","Public",14,"CA",2020
"miami university","Public",14,"OH",2020
"olin college of engineering","Private",14,"MA",2020
"purdue university","Public",14,"IN",2020
"pennsylvania state university","Public",13,"PA",2020
"university of virginia","Public",13,"VA",2020
"georgia institute of technology","Public",12,"GA",2020
"tulane university","Private",8,"LA",2020
"college of the ozarks","Private",30,"MO",2010
"agnes scott college","Private",51,"GA",2010
"florida international university","Public",43,"FL",2010
"pacific union college","Private",48,"CA",2010
"houghton college","Private",41,"NY",2010
"brescia university","Private",24,"KY",2010
"stockton university","Public",41,"NJ",2010
"earlham college","Private",49,"IN",2010
"hampshire college","Private",56,"MA",2010
"millsaps college","Private",59,"MS",2010
"lake forest college","Private",38,"IL",2010
"lyon college","Private",26,"AR",2010
"christian brothers university","Private",30,"TN",2010
"stony brook university","Public",40,"NY",2010
"king university","Private",34,"TN",2010
"loyola university new orleans","Private",43,"LA",2010
"beloit college","Private",50,"WI",2010
"university of the pacific","Private",39,"CA",2010
"new college of florida","Public",44,"FL",2010
"knox college","Private",43,"IL",2010
"willamette university","Private",43,"OR",2010
"new mexico institute of mining and technology","Public",39,"NM",2010
"southwestern university","Private",44,"TX",2010
"mount st marys university","Private",40,"MD",2010
"university at buffalo","Public",40,"NY",2010
"college of the atlantic","Private",23,"ME",2010
"hanover college","Private",33,"IN",2010
"allegheny college","Private",37,"PA",2010
"william jewell college","Private",32,"MO",2010
"austin college","Private",32,"TX",2010
"illinois institute of technology","Private",36,"IL",2010
"university of idaho","Public",26,"ID",2010
"rowan university","Public",33,"NJ",2010
"salem college","Private",85,"NC",2010
"university of dallas","Private",36,"TX",2010
"university of evansville","Private",31,"IN",2010
"bennington college","Private",36,"VT",2010
"kalamazoo college","Private",42,"MI",2010
"ramapo college of new jersey","Public",35,"NJ",2010
"rochester institute of technology","Private",25,"NY",2010
"transylvania university","Private",30,"KY",2010
"cornell college","Private",25,"IA",2010
"mount holyoke college","Private",37,"MA",2010
"university of south florida","Public",16,"FL",2010
"hendrix college","Private",35,"AR",2010
"george mason university","Public",31,"VA",2010
"university of central florida","Public",26,"FL",2010
"university of alaska fairbanks","Public",23,"AK",2010
"augustana college","Private",29,"IL",2010
"bard college","Private",32,"NY",2010
"illinois wesleyan university","Private",32,"IL",2010
"suny college at geneseo","Public",31,"NY",2010
"university of maine","Public",18,"ME",2010
"binghamton university","Public",26,"NY",2010
"university of illinois urbanachampaign","Public",31,"IL",2010
"st johns college","Private",6,"NM",2010
"st johns college","Private",29,"MD",2010
"rollins college","Private",23,"FL",2010
"macalester college","Private",32,"MN",2010
"susquehanna university","Private",27,"PA",2010
"gustavus adolphus college","Private",22,"MN",2010
"university of arizona","Public",18,"AZ",2010
"florida state university","Public",22,"FL",2010
"bard college at simons rock","Private",12,"MA",2010
"lawrence university","Private",28,"WI",2010
"berry college","Private",19,"GA",2010
"university of south dakota","Public",15,"SD",2010
"hofstra university","Private",24,"NY",2010
"university of oregon","Public",25,"OR",2010
"university of utah","Public",28,"UT",2010
"claremont mckenna college","Private",31,"CA",2010
